wpe,lijphart,loosemorehanby,raes,gallagher,enp,governability,entropy,alpha
1,0.049861833,0.107323333,0.026830833,0.06188277,7.531380753,0.137142857,-2.026399534,10
1,0.0328235,0.090867333,0.022716833,0.062604603,7.51565762,0.141938776,-1.962343242,10
1,0.042248167,0.107814333,0.026953583,0.062785867,7.523510972,0.136326531,-2.031873877,10
1,0.033313167,0.091903833,0.022975958,0.054634892,7.635206787,0.136938776,-2.026603146,10
1,0.032735333,0.0734475,0.018361875,0.041892602,7.77537797,0.137040816,-2.029049278,10
1,0.0750815,0.1415275,0.035381875,0.081117111,7.236180905,0.143163265,-2.01065102,10
1,0.040520333,0.074279167,0.018569792,0.04859583,7.700534759,0.137244898,-2.02782478,10
1,0.057865,0.13263,0.0331575,0.073993684,7.346938776,0.143707483,-2.00735964,10
1,0.033578667,0.091283667,0.022820917,0.049096892,7.700534759,0.136632653,-2.031628076,10
1,0.025106667,0.066262833,0.016565708,0.038791848,7.809110629,0.136632653,-2.030822084,10
1,0.049458,0.131822,0.0329555,0.07111999,7.392197125,0.137142857,-2.02431598,10
1,0.040913333,0.1080125,0.027003125,0.060744464,7.547169811,0.13744898,-2.024567075,10
1,0.032845667,0.06596,0.01649,0.039230753,7.800650054,0.136734694,-2.033079834,10
1,0.049770833,0.116295,0.02907375,0.065921684,7.476635514,0.13744898,-2.031324195,10
1,0.0243865,0.025583167,0.006395792,0.021805355,7.938257993,0.139285714,-2.030494205,10
1,0.041471833,0.107457833,0.026864458,0.056059674,7.610993658,0.136938776,-2.032640433,10
1,0.025207167,0.059338333,0.014834583,0.035704789,7.843137255,0.137040816,-2.029454293,10
1,0.065792167,0.132344,0.033086,0.082427123,7.207207207,0.139965986,-2.015011685,10
1,0.0414095,0.083186333,0.020796583,0.049568228,7.692307692,0.136632653,-2.03239239,10
1,0.058286333,0.141297167,0.035324292,0.079380093,7.265388496,0.143707483,-2.005668091,10
1,0.049535167,0.057809,0.01445225,0.040428341,7.792207792,0.142857143,-2.021767756,10
1,0.058406333,0.074871667,0.018717917,0.051264875,7.675906183,0.139897959,-2.029232923,10
1,0.048975667,0.090484,0.022621,0.060324011,7.547169811,0.138265306,-2.018261879,10
1,0.025198,0.0682135,0.017053375,0.039694749,7.809110629,0.136836735,-2.028428061,10
1,0.083037833,0.158238333,0.039559583,0.091707326,7.045009785,0.145759637,-1.998812459,10
1,0.059240167,0.100769,0.02519225,0.062926941,7.531380753,0.137142857,-2.029402865,10
1,0.040992167,0.091300833,0.022825208,0.058281802,7.586933614,0.137755102,-2.017429069,10
1,0.058392333,0.091638833,0.022909708,0.059945579,7.56302521,0.13744898,-2.030609021,10
1,0.050455167,0.100295333,0.025073833,0.060247604,7.56302521,0.137040816,-2.030753805,10
1,0.0330485,0.0908185,0.022704625,0.053510397,7.643312102,0.13755102,-2.02167047,10
2,0.016977,0.056172333,0.014043083,0.035924122,7.826086957,0.139387755,-1.99618244,10
2,0.031838667,0.073344,0.018336,0.045239602,7.733619764,0.137142857,-2.024777281,10
2,0.031744667,0.105066333,0.026266583,0.056978725,7.586933614,0.13877551,-2.019555118,10
2,0.057715333,0.106177667,0.026544417,0.067667062,7.438016529,0.137959184,-2.02011918,10
2,0.040554667,0.099209667,0.024802417,0.054493907,7.627118644,0.137040816,-2.029577376,10
2,0.034024667,0.067550333,0.016887583,0.037459908,7.826086957,0.136938776,-2.034168277,10
2,0.058483,0.099785,0.02494625,0.063621388,7.507820647,0.13744898,-2.02924042,10
2,0.074594,0.165321333,0.041330333,0.091303227,7.045009785,0.148015873,-1.98943217,10
2,0.033031333,0.099641667,0.024910417,0.055593865,7.619047619,0.137653061,-2.025222041,10
2,0.090563333,0.114204333,0.028551083,0.078136441,7.265388496,0.14122449,-2.026054252,10
2,0.05839,0.115971333,0.028992833,0.077610136,7.287449393,0.13877551,-2.014398744,10
2,0.033815,0.107143,0.02678575,0.063611285,7.507820647,0.13755102,-2.023443591,10
2,0.050083667,0.115921667,0.028980417,0.066895252,7.461139896,0.137040816,-2.031206011,10
2,0.024858333,0.067198667,0.016799667,0.038227079,7.817589577,0.137346939,-2.024155278,10
2,0.049422333,0.122336333,0.030584083,0.066895899,7.445708376,0.140952381,-2.017678525,10
2,0.050632,0.099373333,0.024843333,0.061170943,7.547169811,0.137857143,-2.021548543,10
2,0.033036667,0.066454667,0.016613667,0.045342327,7.741935484,0.138979592,-2.001639751,10
2,0.025822333,0.042230333,0.010557583,0.030858816,7.877461707,0.137857143,-2.012143092,10
2,0.033800667,0.082803667,0.020700917,0.047633076,7.717041801,0.137040816,-2.028728433,10
2,0.033372667,0.07409,0.0185225,0.045149813,7.741935484,0.137040816,-2.026933659,10
2,0.017900333,0.058209333,0.014552333,0.031374388,7.877461707,0.138265306,-2.02190131,10
2,0.040351,0.090389,0.02259725,0.054235973,7.627118644,0.136938776,-2.030744888,10
2,0.023538,0.05602,0.014005,0.030868465,7.868852459,0.136632653,-2.031122385,10
2,0.056004,0.122589,0.03064725,0.069489386,7.39979445,0.137040816,-2.030753805,10
2,0.04963,0.106295,0.02657375,0.062676056,7.51565762,0.136938776,-2.031675682,10
2,0.048943333,0.089732,0.022433,0.053387194,7.635206787,0.136632653,-2.033890753,10
2,0.033187667,0.082799,0.02069975,0.048884491,7.700534759,0.137857143,-2.018811634,10
2,0.065889,0.091003333,0.022750833,0.058883653,7.570977918,0.139489796,-2.029756146,10
2,0.024433,0.058282333,0.014570583,0.036090903,7.834602829,0.136938776,-2.026516619,10
2,0.058519667,0.124923667,0.031230917,0.069163887,7.430340557,0.137040816,-2.032026034,10
3,0.041264667,0.082401333,0.020600333,0.052268996,7.651434644,0.13744898,-2.02254574,10
3,0.031831833,0.058077333,0.014519333,0.039338148,7.800650054,0.13755102,-2.028345778,10
3,0.056411333,0.088372667,0.022093167,0.055238733,7.602956705,0.13877551,-2.028712799,10
3,0.039909667,0.105514333,0.026378583,0.056400037,7.594936709,0.137142857,-2.031897615,10
3,0.040612167,0.122112,0.030528,0.069053175,7.407407407,0.137346939,-2.024155278,10
3,0.041552667,0.0999975,0.024999375,0.06484572,7.484407484,0.137959184,-2.01443528,10
3,0.056711333,0.099411,0.02485275,0.059849674,7.555089192,0.137653061,-2.032004146,10
3,0.032860333,0.081325833,0.020331458,0.046031932,7.725321888,0.136632653,-2.033253826,10
3,0.033751833,0.066616167,0.016654042,0.039995999,7.800650054,0.137040816,-2.031494175,10
3,0.016010667,0.033563333,0.008390833,0.023121508,7.929515419,0.137857143,-2.012143092,10
3,0.033730833,0.090445667,0.022611417,0.058184509,7.578947368,0.139897959,-1.989864764,10
3,0.0487255,0.081036833,0.020259208,0.056217026,7.594936709,0.13755102,-2.020152054,10
3,0.065295667,0.097928,0.024482,0.068001867,7.422680412,0.137040816,-2.028644235,10
3,0.0233415,0.040369667,0.010092417,0.023839499,7.920792079,0.137653061,-2.032734601,10
3,0.065467667,0.123311,0.03082775,0.072061253,7.369498465,0.13755102,-2.030353538,10
3,0.024302,0.034058333,0.008514583,0.02476093,7.920792079,0.138673469,-2.027696962,10
3,0.023808,0.058862833,0.014715708,0.038724875,7.809110629,0.138571429,-2.006593022,10
3,0.025381,0.064439167,0.016109792,0.039057532,7.800650054,0.137959184,-2.014254817,10
3,0.034133333,0.066475667,0.016618917,0.038454761,7.817589577,0.137040816,-2.032075652,10
3,0.0742355,0.139250167,0.034812542,0.079851045,7.236180905,0.143673469,-2.006779986,10
3,0.040862667,0.064717667,0.016179417,0.038872031,7.800650054,0.137959184,-2.031916422,10
