fpp_governability,fpp_loosemorehanby,mmp_governability,mmp_loosemorehanby,pv_governability,pv_loosemorehanby,
0.68,0.14,0.52,0.06,0.52,0.26,
0.68,0.18,0.52,0.1,0.555555555555556,0.08,
0.36,0.14,0.36,0.1,0.36,0.14,
0.52,0.16,0.44,0.06,0.625,0.14,
0.68,0.2,0.44,0.02,0.44,0.02,
0.36,0.1,0.36,0.1,0.36,0.1,
0.36,0.04,0.36,0.04,0.52,0.2,
0.36,0.12,0.44,0.1,0.52,0.18,
0.44,0.22,0.36,0.04,0.68,0.42,
0.44,0.1,0.44,0.1,0.36,0.14,
0.36,0.04,0.36,0.04,0.44,0.24,
0.36,0.06,0.36,0.06,0.36,0.16,
0.36,0.14,0.36,0.08,0.36,0.14,
0.44,0.14,0.36,0.14,0.52,0.12,
0.52,0.2,0.36,0.06,0.52,0.2,
0.44,0.18,0.36,0.04,0.555555555555556,0.286666666666667,
0.68,0.18,0.52,0.02,0.68,0.18,
0.52,0,0.52,0,0.68,0.4,
0.68,0.22,0.52,0.02,0.68,0.38,
0.68,0.16,0.52,0.04,0.68,0.44,
0.52,0.18,0.36,0.04,0.36,0.04,
0.52,0.04,0.52,0.04,1,0.36,
1,0.06,1,0.06,0.68,0.14,
0.44,0.08,0.44,0.08,1,0.46,
0.68,0.24,0.44,0.04,1,0.44,
0.52,0.16,0.52,0.04,0.68,0.36,
0.52,0.14,0.44,0.08,0.625,0.17,
0.52,0.08,0.52,0.08,0.36,0.18,
0.68,0.02,0.68,0.02,0.52,0.22,
0.68,0.22,0.52,0.1,0.52,0.1,
