9,,,,,,,,,
70,,,,,,,,,
LAB,NZF,CON,NAT,GRN,ACT,OTH,MANA,MAO,UF
8590,1403,280,14447,7797,404,411,237,562,75
4965,4569,1485,20853,3142,418,234,91,213,207
7111,1278,777,17749,1277,478,114,72,84,94
8240,1391,487,12506,4556,219,235,100,139,151
9100,1801,617,13252,3359,101,212,63,84,160
5160,1556,992,20020,2751,583,326,48,136,259
6239,3813,1349,18021,3929,473,266,87,151,236
10127,1706,405,9707,7010,218,302,181,126,183
12326,2522,520,14163,4798,210,357,62,107,186
7101,2536,898,14804,3154,280,162,224,313,271
5769,1657,1254,21079,2704,530,203,64,130,145
5716,959,412,23725,4424,939,170,91,217,116
8217,1786,1145,17085,3949,341,182,89,195,260
9342,2475,1022,15300,2834,292,254,115,188,227
5138,1648,1258,23558,3094,499,205,60,186,163
5705,2626,1320,22161,2438,515,213,75,188,170
11751,1974,667,13510,3940,249,210,123,196,294
6552,1350,714,19934,4586,394,168,53,171,247
9296,2213,643,16140,2723,397,454,63,162,264
6775,2236,1296,18909,3786,379,249,45,147,306
12999,1667,604,13754,4398,163,214,0,227,234
17960,1466,402,3592,962,77,113,252,134,49
17977,1703,393,5287,913,143,119,253,131,41
14517,1861,572,6606,995,153,139,215,163,56
12467,1753,585,14747,3220,400,176,140,213,130
12238,1494,532,12102,5660,306,190,191,172,114
14098,1513,783,12781,2351,350,140,65,124,125
9921,1893,1137,16538,3327,359,239,83,207,203
9639,1913,954,16016,5660,259,251,66,161,348
12462,2081,871,13211,4094,334,204,151,148,129
8761,2137,667,18073,3276,347,238,72,207,154
6036,1806,829,23113,4035,714,184,62,223,179
8264,1865,824,17263,3614,484,238,103,182,193
5748,3330,1714,16381,3848,536,282,420,257,149
10036,1478,636,18764,5453,286,229,73,201,672
11137,3057,1202,17609,3612,253,207,80,210,266
6068,1847,1156,20471,2024,585,146,40,109,149
11194,1870,997,14577,3469,245,214,94,168,210
8603,2680,967,16640,1731,331,194,159,183,133
9199,1609,549,14532,6522,246,231,102,135,157
9687,2084,863,19282,2894,367,292,32,123,307
6723,2305,1333,17115,2994,478,214,62,247,260
11375,2148,955,15364,3422,235,224,80,190,340
5178,2688,2459,23967,3265,460,194,58,140,154
12606,1640,409,12168,8920,238,232,198,251,217
6919,3326,948,16159,2700,269,207,327,404,258
5942,1750,906,23086,4215,336,171,52,137,256
6642,1421,575,24338,3314,893,148,102,193,156
4950,2252,1180,18759,2554,461,250,83,209,340
6844,2833,1236,19003,2549,394,211,140,226,311
5496,5455,1499,19858,3208,426,232,59,182,205
11999,2081,851,12701,2231,271,228,159,193,121
8231,1995,1296,17935,3294,498,249,117,263,220
5173,2549,1284,18875,2208,607,251,91,186,243
8431,2131,1177,20489,3050,195,207,35,93,208
8161,2738,1314,18046,3442,467,322,75,218,238
11579,2011,753,12533,3308,259,212,174,168,125
8257,2010,1100,21309,4587,432,341,52,136,317
10459,1132,270,15128,10903,462,234,250,278,256
9200,1931,1075,15462,4787,278,329,91,145,468
8733,3035,1030,15151,2855,345,266,75,225,143
7017,3340,1457,17486,3673,596,313,238,212,180
9866,1948,763,14357,4243,202,393,66,141,251
8250,1758,76,1491,1634,37,270,2007,2337,33
9054,1516,73,1091,1710,36,278,1754,2736,14
7739,1948,94,1569,1810,28,205,2551,2694,10
7645,1445,67,1421,2031,23,203,1499,3829,25
6855,1950,102,1814,1704,46,242,4844,2208,17
6791,1544,120,2631,2789,32,257,1043,2379,43
6591,2058,57,1068,1663,28,206,3125,3989,22
