Loosemorehanby,Gallagher,EffectiveNumberOfParties,EffectiveNumberOfPCAVars,Governability,Round,ENI,
0.187,0.129522198869537,3.57142857142857,4.04025582143405,0.283333333333333,1,5.77157417007321,
0.386,0.261354165836323,2.94117647058824,2.81942448275368,0.583333333333333,1,5.77157417007321,
0.395,0.285690391858039,2.38095238095238,3.49264506353766,1,1,5.77157417007321,
0.206,0.114170924494812,4.16666666666667,3.67303001754266,0.263888888888889,1,5.77157417007321,
0.358,0.23658824991956,2.17391304347826,3.23306312858489,1,1,5.77157417007321,
0.296,0.191947909600496,3.33333333333333,4.26457213238663,0.305555555555555,1,5.77157417007321,
0.233,0.171586712772289,3.125,3.11839076728247,0.65,1,5.77157417007321,
0.179,0.112946890174099,3.84615384615385,3.12513759347573,0.277777777777778,1,5.77157417007321,
0.255,0.139656722000769,4.16666666666667,4.2480625751724,0.263888888888889,1,5.77157417007321,
0.311,0.199005025062183,3.57142857142857,3.64441015141011,0.333333333333333,1,5.77157417007321,
0.342,0.209382425241471,2.63157894736842,4.49344034047522,0.5,1,5.77157417007321,
0.337,0.236199068584108,3.125,4.63048485281945,0.649999999999999,1,5.77157417007321,
0.311,0.185440017256255,4.16666666666667,3.16962091089872,0.263888888888889,1,5.77157417007321,
0.145,0.0971339281610705,5.55555555555555,4.44591601595604,0.18,1,5.77157417007321,
0.366,0.280722282692343,2.38095238095238,3.24643239129617,1,1,5.77157417007321,
0.26,0.177090372409118,3.57142857142857,3.15930803228172,0.283333333333333,1,5.77157417007321,
0.253,0.144609819860202,3.84615384615385,3.63498747592728,0.277777777777778,1,5.77157417007321,
0.29,0.182545884642739,3.57142857142857,2.67580022293646,0.283333333333333,1,5.77157417007321,
0.342,0.210798481967969,2.94117647058823,3.73129131546691,0.277777777777778,1,5.77157417007321,
0.185,0.114873843846195,3.33333333333333,3.5056790881537,0.305555555555555,1,5.77157417007321,
0.22,0.127275292181947,5.55555555555555,2.95672614138419,0.18,1,5.77157417007321,
0.184,0.107902733978338,4.16666666666667,4.25945070970662,0.263888888888889,1,5.77157417007321,
0.3,0.170622390089929,3.33333333333333,3.34081119326475,0.305555555555555,1,5.77157417007321,
0.283,0.187978722200147,4.16666666666667,4.06025629877793,0.33,1,5.77157417007321,
0.274,0.164121905911429,3.33333333333333,4.7678143082066,0.305555555555555,1,5.77157417007321,
0.174,0.106855041996155,3.84615384615385,3.95074058863726,0.319444444444444,1,5.77157417007321,
0.21,0.117775209615606,4.54545454545455,3.26719719323255,0.233333333333333,1,5.77157417007321,
0.143,0.103542261903051,4.54545454545455,3.05767804853493,0.233333333333333,1,5.77157417007321,
0.255,0.154761106225046,3.84615384615385,3.52699881092922,0.319444444444444,1,5.77157417007321,
0.446,0.347277986633187,1.92307692307692,3.44794500191121,1,1,5.77157417007321,
0.254,0.153899317737279,3.84615384615385,2.73553651045415,0.319444444444444,1,5.77157417007321,
0.229,0.149659613790762,3.33333333333333,2.67007702540022,0.305555555555555,1,5.77157417007321,
0.147,0.12285357137666,4.16666666666667,3.32267168267618,0.33,1,5.77157417007321,
0.429,0.242039253014878,2.94117647058824,3.36431388316634,0.333333333333333,1,5.77157417007321,
0.306,0.187632619765328,3.33333333333333,2.80474672822275,0.305555555555555,1,5.77157417007321,
0.311,0.191394879764324,3.33333333333333,2.60419427134853,0.305555555555555,1,5.77157417007321,
0.329,0.204014705352335,3.84615384615385,3.67952555785483,0.319444444444444,1,5.77157417007321,
0.423,0.320354491150038,1.92307692307692,3.36575785506801,1,1,5.77157417007321,
0.223,0.182918014421762,3.125,3.23156147022533,0.65,1,5.77157417007321,
0.214,0.148778358641302,4.54545454545455,3.53695794606265,0.233333333333333,1,5.77157417007321,
0.376,0.247313566146299,2.38095238095238,3.65190355202264,1,1,5.77157417007321,
0.423,0.261801451485663,2.77777777777778,2.76042395671056,0.583333333333333,1,5.77157417007321,
0.266,0.152558185621093,3.57142857142857,3.62944011565066,0.333333333333333,1,5.77157417007321,
0.323,0.252368777783624,1.72413793103448,2.64388897615072,1,1,5.77157417007321,
0.281,0.186783296897769,3.57142857142857,4.25585818661597,0.333333333333333,1,5.77157417007321,
0.099,0.0631822759957252,5,3.61053670492496,0.223333333333333,1,5.77157417007321,
0.2,0.116743308159397,4.16666666666667,2.79282989894743,0.263888888888889,1,5.77157417007321,
0.306,0.192418814048939,3.57142857142857,3.34704314020452,0.283333333333333,1,5.77157417007321,
0.232,0.143565316145649,4.54545454545455,3.84044280614385,0.233333333333333,1,5.77157417007321,
0.295,0.180637759064931,3.57142857142857,4.19513192231792,0.283333333333333,1,5.77157417007321,
0.202,0.155964739604822,4.16666666666667,4.17503530545706,0.33,1,5.77157417007321,
0.254,0.174002873539491,3.57142857142857,4.07225597907356,0.333333333333333,1,5.77157417007321,
0.338,0.239288528768096,2.77777777777778,3.33576150540162,0.583333333333333,1,5.77157417007321,
0.271,0.177307642249284,3.57142857142857,3.29422490150523,0.333333333333333,1,5.77157417007321,
0.159,0.0954829827770373,4.54545454545455,3.33694293937469,0.233333333333333,1,5.77157417007321,
0.303,0.241919408068059,2.94117647058823,3.04064920521072,0.583333333333333,1,5.77157417007321,
0.31,0.245411898652042,2.27272727272727,3.30777185652346,1,1,5.77157417007321,
0.315,0.199704782116002,2.77777777777778,4.12227955776062,0.583333333333333,1,5.77157417007321,
0.203,0.134007462478774,5,4.27425406592262,0.223333333333333,1,5.77157417007321,
0.212,0.134755333846197,3.57142857142857,3.68422130673667,0.333333333333333,1,5.77157417007321,
0.25,0.187008021218342,2.94117647058824,2.32569639266328,0.583333333333333,1,5.77157417007321,
0.229,0.186911743879297,2.94117647058823,3.69862874034072,0.583333333333333,1,5.77157417007321,
0.386,0.25583979362093,2.17391304347826,3.0895280331052,1,1,5.77157417007321,
0.493,0.344612826226767,1.85185185185185,2.95814388773108,1,1,5.77157417007321,
0.271,0.164520515438045,3.33333333333333,4.05255538507638,0.305555555555556,1,5.77157417007321,
0.316,0.205187718930739,2.63157894736842,3.21868325573065,0.5,1,5.77157417007321,
0.064,0.0363318042491699,5.55555555555555,3.25637147402327,0.18,1,5.77157417007321,
0.437,0.291401784483211,2.17391304347826,3.0160437111504,1,1,5.77157417007321,
0.265,0.171408867915286,2.63157894736842,3.88404680056845,0.5,1,5.77157417007321,
0.281,0.161564228714156,5,3.70245272276697,0.223333333333333,1,5.77157417007321,
0.222,0.135716616521338,5,3.78030761854465,0.223333333333333,1,5.77157417007321,
0.163,0.111090053560164,3.57142857142857,4.32759692999236,0.283333333333333,1,5.77157417007321,
0.268,0.167430582630534,4.16666666666667,3.49755244573917,0.263888888888889,1,5.77157417007321,
0.361,0.229207329725731,2.38095238095238,2.46123601322667,0.5,1,5.77157417007321,
0.26,0.151538773916117,3.33333333333333,4.05943293158538,0.305555555555555,1,5.77157417007321,
0.403,0.254308867324755,3.33333333333333,5.004969133603,0.305555555555556,1,5.77157417007321,
0.24,0.154757875405422,3.57142857142857,3.37017087381768,0.333333333333333,1,5.77157417007321,
0.421,0.328434163874588,1.92307692307692,4.03851907092457,1,1,5.77157417007321,
0.267,0.177129895839184,2.94117647058824,3.19134928634853,0.583333333333333,1,5.77157417007321,
0.229,0.140921964221338,3.84615384615385,3.8206371634009,0.277777777777778,1,5.77157417007321,
0.263,0.150734866570412,3.33333333333333,2.6867263220142,0.305555555555556,1,5.77157417007321,
0.312,0.197555055617415,3.33333333333333,3.71083616450717,0.305555555555555,1,5.77157417007321,
0.332,0.232806786842652,2.17391304347826,3.87873008791041,1,1,5.77157417007321,
0.247,0.156144164156077,4.16666666666667,3.5903486168393,0.263888888888889,1,5.77157417007321,
0.195,0.134703377834411,3.84615384615385,3.48249588924905,0.319444444444444,1,5.77157417007321,
0.201,0.12189339604753,4.54545454545455,3.7460037342025,0.233333333333333,1,5.77157417007321,
0.158,0.124330205501318,3.125,2.29631506411433,0.65,1,5.77157417007321,
0.205,0.137913016064475,3.57142857142857,3.56890599183686,0.333333333333333,1,5.77157417007321,
0.344,0.23383113565135,3.33333333333333,3.65758558812785,0.305555555555556,1,5.77157417007321,
0.297,0.18036629396869,3.33333333333333,3.36733660631158,0.305555555555556,1,5.77157417007321,
0.302,0.22677742392046,2.27272727272727,3.38786483624944,1,1,5.77157417007321,
0.44,0.27081543530604,2.38095238095238,2.65075206224999,0.5,1,5.77157417007321,
0.344,0.218673272257951,3.33333333333333,2.13424677481198,0.305555555555556,1,5.77157417007321,
0.342,0.20682359633272,2.94117647058823,3.70851651950641,0.277777777777778,1,5.77157417007321,
0.282,0.169103518591424,3.33333333333333,4.35087016348505,0.305555555555556,1,5.77157417007321,
0.141,0.0902995016597545,4.54545454545455,3.62873493205853,0.233333333333333,1,5.77157417007321,
0.167,0.11287160847618,5,3.72657304175479,0.223333333333333,1,5.77157417007321,
0.261,0.207720966683674,2.94117647058823,2.93120381301016,0.583333333333333,1,5.77157417007321,
0.346,0.238847231510018,2.77777777777778,3.42760769908778,0.583333333333333,1,5.77157417007321,
0.338,0.26190647185589,1.85185185185185,2.86759967384786,1,1,5.77157417007321,
0.411,0.253426517949484,2.77777777777778,3.31079219493601,0.333333333333333,1,5.77157417007321,
0.368,0.230529824534701,3.33333333333333,3.47045618065777,0.305555555555556,1,5.77157417007321,
0.273,0.182054936763604,2.63157894736842,2.56341917867695,0.5,1,5.77157417007321,
0.162,0.107475578621378,5,3.60193438969978,0.223333333333333,1,5.77157417007321,
0.269,0.166871207822081,4.54545454545455,4.24100720167436,0.233333333333333,1,5.77157417007321,
0.309,0.18538878067456,2.94117647058823,3.62992301446153,0.277777777777778,1,5.77157417007321,
0.216,0.158350876221131,3.84615384615385,3.30981962805372,0.319444444444444,1,5.77157417007321,
0.277,0.166859222100548,2.77777777777778,2.48792332902398,0.333333333333333,1,5.77157417007321,
0.213,0.152276065092318,3.33333333333333,3.72872248194611,0.305555555555555,1,5.77157417007321,
0.289,0.205859175165937,2.63157894736842,3.18093145943795,0.5,1,5.77157417007321,
0.363,0.214920915687608,2.77777777777778,4.01388190723205,0.333333333333333,1,5.77157417007321,
0.461,0.283656482386707,2.38095238095238,3.55954935566798,0.5,1,5.77157417007321,
0.205,0.117991525119391,4.16666666666667,3.59944109912627,0.263888888888889,1,5.77157417007321,
0.218,0.141131144684651,3.84615384615385,3.17348365905292,0.277777777777778,1,5.77157417007321,
0.28,0.178443268295557,3.33333333333333,3.02158483884425,0.305555555555555,1,5.77157417007321,
0.375,0.233484474858608,2.38095238095238,3.75925430906328,0.5,1,5.77157417007321,
0.141,0.0867294644281861,4.54545454545455,4.18670048877534,0.233333333333333,1,5.77157417007321,
0.208,0.11838918869559,3.57142857142857,3.06985028452941,0.333333333333333,1,5.77157417007321,
0.263,0.19723082923316,3.125,3.50571371155439,0.65,1,5.77157417007321,
0.385,0.288650307465625,2.38095238095238,2.51988294676717,1,1,5.77157417007321,
0.348,0.263994318120675,2.38095238095238,2.04574938925532,1,1,5.77157417007321,
0.438,0.297528149928708,1.72413793103448,2.57632161132885,1,1,5.77157417007321,
0.263,0.175022855650341,3.33333333333333,2.94417742673349,0.305555555555556,1,5.77157417007321,
0.405,0.281156540027082,2.17391304347826,4.70199172793827,1,1,5.77157417007321,
0.195,0.125171881826551,4.54545454545455,3.25368869168366,0.233333333333333,1,5.77157417007321,
0.208,0.131928010672488,5,4.32209859820714,0.223333333333333,1,5.77157417007321,
0.308,0.180158263757175,3.33333333333333,3.18296159692364,0.305555555555556,1,5.77157417007321,
0.204,0.134506505418883,4.16666666666667,2.81219095297125,0.263888888888889,1,5.77157417007321,
0.223,0.15023648025696,4.16666666666667,4.31592298744685,0.263888888888889,1,5.77157417007321,
0.382,0.22249044923322,3.33333333333333,4.53580956363542,0.305555555555556,1,5.77157417007321,
0.267,0.183305755501566,3.33333333333333,2.70349072422244,0.305555555555556,1,5.77157417007321,
0.237,0.162206658309701,3.84615384615385,3.72818853441756,0.319444444444444,1,5.77157417007321,
0.296,0.197111643491702,2.77777777777778,3.57489104121318,0.583333333333333,1,5.77157417007321,
0.227,0.143763694999816,4.54545454545455,4.18214322683717,0.22,1,5.77157417007321,
0.329,0.20583974348993,3.33333333333333,3.02801433203935,0.305555555555555,1,5.77157417007321,
0.234,0.182408881362723,2.94117647058823,3.05400672821269,0.583333333333333,1,5.77157417007321,
0.28,0.226119437466132,2.38095238095238,2.90623246895108,1,1,5.77157417007321,
