Loosemorehanby,Gallagher,EffectiveNumberOfParties,EffectiveNumberOfPCAVars,Governability,Round,ENI,Entropy,SpatialSum,
0.283,0.197638558990901,2.94117647058824,1.72569741560825,0.583333333333333,1,1,-0.388139521741323,1.10000009666338,
0.378,0.245226425982193,2.17391304347826,2.30471280104899,1,1,1,-0.388139521741323,1.10000009666338,
0.374,0.24425396619093,2.77777777777778,2.05232358073319,0.583333333333333,1,1,-0.388139521741323,1.10000009666338,
0.466,0.378091258825168,1.21951219512195,1.12457244700058,1,1,1,-0.388139521741323,1.10000009666338,
0.561,0.429203914241238,1,1.51369303765463,1,1,1,-0.388139521741323,1.10000009666338,
0.347,0.222553364387061,2.63157894736842,2.21790193501879,0.5,1,1,-0.388139521741323,1.10000009666338,
0.543,0.325650118992762,2,1.99215034349859,0.5,1,1,-0.388139521741323,1.10000009666338,
0.513,0.4013925759154,1.21951219512195,2.09706086226659,1,1,1,-0.388139521741323,1.10000009666338,
0.302,0.236370471929131,1.47058823529412,1.86260091013843,1,1,1,-0.388139521741323,1.10000009666338,
0.506,0.393258184911643,1,1.61452234200654,1,1,1,-0.388139521741323,1.10000009666338,
0.539,0.344444480286736,1.72413793103448,1.71109232304374,1,1,1,-0.388139521741323,1.10000009666338,
0.376,0.262712770911503,2.17391304347826,1.67342526359579,1,1,1,-0.388139521741323,1.10000009666338,
0.314,0.182087890865922,4.16666666666667,2.53571767730906,0.263888888888889,1,1,-0.388139521741323,1.10000009666338,
0.336,0.273060432871553,1.51515151515151,1.28783318480369,1,1,1,-0.388139521741323,1.10000009666338,
0.249,0.150505813841194,3.57142857142857,3.95182831158829,0.333333333333333,1,1,-0.388139521741323,1.10000009666338,
0.255,0.197519619278693,2.27272727272727,1.61213808766181,1,1,1,-0.388139521741323,1.10000009666338,
0.408,0.317527951525531,1.51515151515151,1.37250979170881,1,1,1,-0.388139521741323,1.10000009666338,
0.42,0.273552554365701,1.92307692307692,2.48182474433623,1,1,1,-0.388139521741323,1.10000009666338,
0.395,0.303799275838505,1.21951219512195,1.61895577345752,1,1,1,-0.388139521741323,1.10000009666338,
0.393,0.256351321432131,1.85185185185185,1.34943257988801,1,1,1,-0.388139521741323,1.10000009666338,
0.338,0.273470290890985,2.17391304347826,1.32268612721282,1,1,1,-0.388139521741323,1.10000009666338,
0.495,0.303674167488774,1.92307692307692,1.37698537563216,1,1,1,-0.388139521741323,1.10000009666338,
0.32,0.210352085799024,2.94117647058823,1.52380981642605,0.277777777777778,1,1,-0.388139521741323,1.10000009666338,
0.468,0.307504471512204,1.92307692307692,1.25444114582731,1,1,1,-0.388139521741323,1.10000009666338,
0.257,0.201367822652975,1.47058823529412,1.22670542847466,1,1,1,-0.388139521741323,1.10000009666338,
0.277,0.206341949200835,2.38095238095238,1.5138713372751,1,1,1,-0.388139521741323,1.10000009666338,
0.374,0.254039367028026,1.72413793103448,1.28889302237063,1,1,1,-0.388139521741323,1.10000009666338,
0.201,0.149946657181812,2.17391304347826,1.76342832107194,1,1,1,-0.388139521741323,1.10000009666338,
0.453,0.308386121607312,1.47058823529412,1.29177338722647,1,1,1,-0.388139521741323,1.10000009666338,
0.215,0.170094091608145,2.63157894736842,1.89950936336587,0.5,1,1,-0.388139521741323,1.10000009666338,
0.41,0.265644499284288,2.63157894736842,1.86047429405449,0.5,1,1,-0.388139521741323,1.10000009666338,
0.271,0.162748271880226,2.38095238095238,2.54509686029986,0.5,1,1,-0.388139521741323,1.10000009666338,
0.479,0.370704734256254,1.21951219512195,1.86501445108841,1,1,1,-0.388139521741323,1.10000009666338,
0.503,0.385792690443974,1.51515151515151,1.86233208460054,1,1,1,-0.388139521741323,1.10000009666338,
0.446,0.32306965193283,1.47058823529412,1.62191608557795,1,1,1,-0.388139521741323,1.10000009666338,
0.367,0.231618220354099,1.92307692307692,1.23632910083971,1,1,1,-0.388139521741323,1.10000009666338,
0.397,0.286232423041136,2.27272727272727,1.38417920190528,1,1,1,-0.388139521741323,1.10000009666338,
0.506,0.391460087365238,1,1.31437705862365,1,1,1,-0.388139521741323,1.10000009666338,
0.335,0.248203545502477,2.17391304347826,2.35044951330698,1,1,1,-0.388139521741323,1.10000009666338,
0.276,0.202390711249306,2.63157894736842,2.69721341719368,0.5,1,1,-0.388139521741323,1.10000009666338,
0.422,0.272675631474468,1.92307692307692,2.09367655833408,1,1,1,-0.388139521741323,1.10000009666338,
0.416,0.272543574497731,2.17391304347826,1.86248413437023,1,1,1,-0.388139521741323,1.10000009666338,
0.308,0.186539540044463,3.33333333333333,2.13667944728898,0.305555555555556,1,1,-0.388139521741323,1.10000009666338,
0.466,0.298221394269425,1.72413793103448,1.53244703462341,1,1,1,-0.388139521741323,1.10000009666338,
0.344,0.242353048258115,1.92307692307692,1.36748689447534,1,1,1,-0.388139521741323,1.10000009666338,
0.524,0.330458772012486,1.72413793103448,1.30751930055634,1,1,1,-0.388139521741323,1.10000009666338,
0.406,0.256411778200612,1.92307692307692,2.18604824626256,1,1,1,-0.388139521741323,1.10000009666338,
0.341,0.206131026291531,2.17391304347826,1.39693842309125,1,1,1,-0.388139521741323,1.10000009666338,
0.332,0.23857493581682,3.125,1.78026291807367,0.65,1,1,-0.388139521741323,1.10000009666338,
0.418,0.266075177346554,1.72413793103448,1.34662195054712,1,1,1,-0.388139521741323,1.10000009666338,
0.513,0.321600684078874,2,1.61745341408129,0.5,1,1,-0.388139521741323,1.10000009666338,
0.375,0.275829657578731,1.72413793103448,1.36023088890055,1,1,1,-0.388139521741323,1.10000009666338,
0.37,0.228245481882994,2.77777777777778,1.58397382186769,0.333333333333333,1,1,-0.388139521741323,1.10000009666338,
0.567,0.441697860533646,1.21951219512195,1.70940979961824,1,1,1,-0.388139521741323,1.10000009666338,
0.263,0.169705627484771,1.92307692307692,1.53853808547147,1,1,1,-0.388139521741323,1.10000009666338,
0.449,0.26529229163321,2.77777777777778,2.93891105959446,0.333333333333333,1,1,-0.388139521741323,1.10000009666338,
0.138,0.0966022774058666,4.16666666666667,1.53510988841603,0.33,1,1,-0.388139521741323,1.10000009666338,
0.425,0.333922146615046,1.21951219512195,1.57635906561677,1,1,1,-0.388139521741323,1.10000009666338,
0.344,0.271593446165404,1.85185185185185,2.03817128222573,1,1,1,-0.388139521741323,1.10000009666338,
0.362,0.22259604668547,2.94117647058824,1.4900824547191,0.333333333333333,1,1,-0.388139521741323,1.10000009666338,
0.516,0.344592512977284,1.72413793103448,1.77619747695386,1,1,1,-0.388139521741323,1.10000009666338,
0.475,0.372553351883995,1.51515151515151,2.33147303986243,1,1,1,-0.388139521741323,1.10000009666338,
0.344,0.234420562238043,1.92307692307692,1.48340816397717,1,1,1,-0.388139521741323,1.10000009666338,
0.219,0.173164661521917,1.72413793103448,1.3212113138341,1,1,1,-0.388139521741323,1.10000009666338,
0.389,0.240116638323961,2.38095238095238,1.53440449142342,0.5,1,1,-0.388139521741323,1.10000009666338,
0.551,0.362353418639869,1.72413793103448,2.39294685253673,1,1,1,-0.388139521741323,1.10000009666338,
0.485,0.293901343991483,1.92307692307692,1.77422150268982,1,1,1,-0.388139521741323,1.10000009666338,
0.489,0.294991525301999,2.38095238095238,1.92439546754112,0.5,1,1,-0.388139521741323,1.10000009666338,
0.374,0.251001992023968,1.47058823529412,1.38719817210219,1,1,1,-0.388139521741323,1.10000009666338,
0.371,0.251928561302604,1.72413793103448,1.40034562937835,1,1,1,-0.388139521741323,1.10000009666338,
0.444,0.296624341550049,1.72413793103448,1.31800061083523,1,1,1,-0.388139521741323,1.10000009666338,
0.455,0.282918716241962,2.63157894736842,1.73534826399429,0.5,1,1,-0.388139521741323,1.10000009666338,
0.371,0.228844925659277,2,1.29537094711905,0.5,1,1,-0.388139521741323,1.10000009666338,
0.181,0.129085243153507,3.57142857142857,3.87344403833469,0.333333333333333,1,1,-0.388139521741323,1.10000009666338,
0.342,0.214606616859779,3.33333333333333,1.60720297578367,0.305555555555556,1,1,-0.388139521741323,1.10000009666338,
0.438,0.335609892583636,1.47058823529412,1.43518288925801,1,1,1,-0.388139521741323,1.10000009666338,
0.428,0.338713743447177,1,1.34347112608349,1,1,1,-0.388139521741323,1.10000009666338,
0.442,0.342265978443666,1.21951219512195,1.7420974099915,1,1,1,-0.388139521741323,1.10000009666338,
0.346,0.197068516003952,2.94117647058824,2.42282153251992,0.333333333333333,1,1,-0.388139521741323,1.10000009666338,
0.559,0.428121478087704,1,1.44621646687239,1,1,1,-0.388139521741323,1.10000009666338,
0.362,0.255544516669797,1.92307692307692,1.46344302287818,1,1,1,-0.388139521741323,1.10000009666338,
0.284,0.186518095636858,2.38095238095238,2.45338359823519,0.5,1,1,-0.388139521741323,1.10000009666338,
0.207,0.151749794069053,2.63157894736842,1.24763018224252,0.5,1,1,-0.388139521741323,1.10000009666338,
0.463,0.361541145652884,1.51515151515151,1.66024744912454,1,1,1,-0.388139521741323,1.10000009666338,
0.384,0.300895330638413,1.21951219512195,1.46358226270133,1,1,1,-0.388139521741323,1.10000009666338,
0.396,0.239219564417294,2,1.48722869052602,0.5,1,1,-0.388139521741323,1.10000009666338,
0.332,0.240462055218698,2.63157894736842,1.73301032040147,0.5,1,1,-0.388139521741323,1.10000009666338,
0.384,0.270754501347623,1.47058823529412,1.33310556543441,1,1,1,-0.388139521741323,1.10000009666338,
0.362,0.243201562494981,1.92307692307692,1.67786886089983,1,1,1,-0.388139521741323,1.10000009666338,
0.562,0.364297954976418,1.72413793103448,1.58169362409824,1,1,1,-0.388139521741323,1.10000009666338,
0.521,0.327685825143536,2.38095238095238,2.01424776049153,0.5,1,1,-0.388139521741323,1.10000009666338,
0.342,0.275802465543729,1.47058823529412,1.13769138010552,1,1,1,-0.388139521741323,1.10000009666338,
0.594,0.461161576890356,1,1.71145048233579,1,1,1,-0.388139521741323,1.10000009666338,
0.353,0.276676706645138,1.21951219512195,1.57167144335107,1,1,1,-0.388139521741323,1.10000009666338,
0.507,0.337249166047894,1.72413793103448,1.64526607743302,1,1,1,-0.388139521741323,1.10000009666338,
0.48,0.362452755542015,1.51515151515151,1.90256128331937,1,1,1,-0.388139521741323,1.10000009666338,
0.141,0.0964105803322436,2,1.62403376037953,0.5,1,1,-0.388139521741323,1.10000009666338,
0.519,0.384169233541678,1.47058823529412,1.54364496391662,1,1,1,-0.388139521741323,1.10000009666338,
0.405,0.265143357450267,2.17391304347826,1.50302682255672,1,1,1,-0.388139521741323,1.10000009666338,
0.241,0.187269858760026,1.72413793103448,1.50504836596223,1,1,1,-0.388139521741323,1.10000009666338,
0.334,0.202094037517191,2.63157894736842,2.60105581781932,0.5,1,1,-0.388139521741323,1.10000009666338,
0.494,0.312201857777945,2.17391304347826,1.39431323754921,1,1,1,-0.388139521741323,1.10000009666338,
0.445,0.30423839336941,1.72413793103448,1.60894962974108,1,1,1,-0.388139521741323,1.10000009666338,
0.345,0.20525106577068,3.57142857142857,2.41542711017377,0.283333333333333,1,1,-0.388139521741323,1.10000009666338,
0.292,0.215626992744415,1.92307692307692,1.4227062449951,1,1,1,-0.388139521741323,1.10000009666338,
0.473,0.30842827367153,1.92307692307692,1.49392624772266,1,1,1,-0.388139521741323,1.10000009666338,
0.273,0.168098185594015,2,1.67671548257438,0.5,1,1,-0.388139521741323,1.10000009666338,
0.486,0.378540618692367,1,1.54653267886653,1,1,1,-0.388139521741323,1.10000009666338,
0.46,0.27800359709903,2.38095238095238,1.58810600307278,0.5,1,1,-0.388139521741323,1.10000009666338,
0.475,0.340251377660694,1.47058823529412,1.8707656330119,1,1,1,-0.388139521741323,1.10000009666338,
0.419,0.266315602246658,2.38095238095238,1.46113922303872,0.5,1,1,-0.388139521741323,1.10000009666338,
0.506,0.351697313040632,1.85185185185185,1.5731913813679,1,1,1,-0.388139521741323,1.10000009666338,
0.288,0.17597158861589,3.33333333333333,1.83839957054088,0.305555555555555,1,1,-0.388139521741323,1.10000009666338,
