CURRENT,PREVIOUS,WEIGHT,NAT,LAB,NZF,UF,ACT,GRN,MAO
MAO,Legalise Cannabis,0.58,1,2,1,0,0,9,10
LAB,LAB,0.27,0,0,8,0,0,8,5
No Vote,No Vote,0.33,7,2,6,0,0,0,7
NZF,NZF,0.32,5,6,8,3,2,3,8
MAO,MAO,0.06,5,8,5,6,6,10,10
LAB,LAB,0.71,0,10,0,0,0,10,10
GRN,LAB,0.23,5,7,4,3,2,10,7
No Vote,No Vote,0.91,4,3,2,0,0,2,0
LAB,LAB,0.15,0,0,0,0,0,0,0
LAB,LAB,0.21,0,10,3,0,0,2,6
NZF,NZF,0.06,0,10,9,5,0,9,7
LAB,LAB,0.09,5,8,5,0,0,4,7
LAB,LAB,0.08,6,9,4,2,0,4,9
No Vote,NZF,1.61,0,0,0,0,0,0,0
No Vote,No Vote,0.13,5,5,0,0,0,0,0
NZF,LAB,0.07,8,10,7,7,6,1,7
MAO,LAB,0.11,5,5,3,3,3,3,6
MAO,LAB,0.14,4,8,5,4,2,4,10
LAB,LAB,1.61,0,0,0,0,0,0,5
LAB,LAB,0.38,6,9,8,5,5,6,8
NAT,No Vote,0.14,4,4,0,0,2,2,5
NAT,LAB,0.83,6,5,5,0,6,6,6
LAB,LAB,0.16,1,10,10,1,1,10,1
LAB,LAB,0.33,5,10,2,0,0,5,10
MAO,GRN,0.14,5,1,0,5,8,9,10
NZF,Other,0.03,5,9,7,0,0,7,9
LAB,LAB,0.09,0,10,0,0,0,0,0
MAO,MAO,0.14,0,5,0,0,0,6,6
LAB,LAB,0.45,5,9,6,0,6,7,7
MAO,LAB,0.23,7,6,5,3,2,6,9
LAB,LAB,0.37,5,7,4,0,0,5,7
LAB,LAB,0.4,0,0,0,0,0,0,0
LAB,LAB,0.77,0,10,0,0,0,0,5
No Vote,LAB,1.82,5,8,2,0,0,0,5
LAB,LAB,0.16,3,10,1,1,1,2,2
LAB,DK,0.59,0,7,0,0,0,5,9
MAO,No Vote,1.61,1,10,0,0,0,7,10
LAB,LAB,0.44,0,10,6,0,0,4,2
MAO,MAO,0.25,1,5,1,0,0,5,10
LAB,LAB,0.37,3,10,0,0,0,5,5
LAB,LAB,0.77,2,10,5,5,5,10,2
No Vote,LAB,1.45,0,10,5,5,5,5,7
LAB,LAB,0.22,5,6,5,0,0,5,4
LAB,LAB,0.22,0,10,10,0,0,5,10
LAB,LAB,1.16,0,10,8,1,5,8,10
LAB,LAB,0.24,0,10,4,0,0,7,7
MAO,DK,0.25,3,5,5,0,0,4,10
LAB,LAB,0.77,2,10,2,0,0,7,8
LAB,LAB,0.12,0,10,5,5,0,10,10
LAB,LAB,0.16,4,8,2,0,0,10,10
LAB,DK,1.45,6,9,4,5,5,5,5
GRN,GRN,0.43,0,4,0,2,0,10,8
MAO,MAO,1.45,3,10,0,0,0,6,10
LAB,LAB,0.88,3,7,2,1,2,1,0
No Vote,LAB,3.28,5,10,1,1,1,10,10
LAB,LAB,0.44,7,10,10,0,0,5,10
LAB,LAB,1.03,5,10,4,3,3,5,5
MAO,LAB,0.44,0,5,5,0,2,8,9
MAO,LAB,0.16,6,8,6,0,1,6,8
GRN,GRN,0.46,0,1,0,1,1,10,10
LAB,LAB,1.82,3,10,3,0,0,3,10
LAB,LAB,0.35,5,7,5,3,2,7,7
No Vote,DK,0.77,5,8,5,0,0,7,8
MAO,MAO,0.14,4,2,4,0,0,7,10
LAB,LAB,0.36,8,10,9,4,5,6,7
NAT,No Vote,0.42,10,0,0,4,5,5,0
No Vote,No Vote,3.28,0,10,0,0,0,0,0
No Vote,No Vote,1.45,1,10,5,0,0,10,10
LAB,MAO,0.37,0,0,0,0,0,0,5
LAB,MAO,0.44,2,6,0,0,0,6,10
LAB,LAB,0.77,0,10,8,0,0,5,10
LAB,LAB,0.37,5,8,2,0,2,5,8
GRN,LAB,0.5,2,8,0,0,0,8,0
MAO,LAB,0.1,4,7,0,1,0,10,10
GRN,GRN,0.38,2,8,6,5,2,10,9
MAO,No Vote,0.25,6,7,10,7,0,10,10
LAB,LAB,0.22,4,7,2,2,4,7,7
No Vote,No Vote,0.91,0,5,0,0,0,5,10
LAB,No Vote,0.21,5,10,10,0,0,10,9
MAO,GRN,0.13,5,5,5,4,3,5,6
No Vote,LAB,2.26,5,9,0,0,0,0,0
NZF,LAB,0.35,0,0,0,0,0,0,0
MAO,LAB,0.06,5,8,5,5,5,6,9
MAO,LAB,0.58,0,10,0,0,0,0,5
LAB,LAB,0.29,7,8,2,0,0,8,9
MAO,NAT,0.43,7,0,6,0,0,0,10
LAB,LAB,1.1,0,10,0,0,0,10,10
LAB,LAB,0.06,3,10,6,8,0,7,10
No Vote,LAB,0.83,8,6,9,5,9,5,4
NAT,NAT,3.45,10,0,0,5,10,0,5
NAT,NAT,2.19,9,5,4,4,8,2,4
MAO,LAB,0.18,5,0,5,0,0,0,5
LAB,LAB,0.44,6,8,0,0,0,0,0
No Vote,No Vote,1.76,5,5,2,4,2,0,6
LAB,LAB,0.21,7,9,3,0,0,6,10
MAO,LAB,0.05,7,3,1,1,0,1,2
LAB,MAO,0.29,0,8,0,0,0,7,9
LAB,LAB,0.91,0,0,0,0,0,0,0
MAO,LAB,0.83,6,5,6,4,3,5,6
LAB,LAB,0.08,0,10,9,0,0,0,0
MAO,GRN,0.14,4,6,3,1,5,5,5
LAB,LAB,0.71,9,9,5,2,0,9,9
No Vote,No Vote,0.91,6,4,4,3,5,6,4
MAO,NAT,0.11,8,6,2,1,1,6,10
MAO,LAB,0.11,0,7,0,0,0,5,8
LAB,LAB,0.21,7,8,10,0,1,5,8
MAO,No Vote,0.14,8,8,6,2,1,5,10
LAB,LAB,0.29,6,8,3,0,0,8,7
LAB,DK,1.67,4,10,4,0,4,4,4
LAB,LAB,0.21,2,10,7,0,0,5,5
LAB,LAB,0.21,5,10,0,0,0,10,5
GRN,GRN,0.8,6,7,0,1,0,9,9
No Vote,NZF,3.45,3,3,7,0,0,7,7
NAT,NAT,0.32,7,4,4,1,5,5,8
NAT,NAT,0.49,6,6,6,6,6,6,6
LAB,LAB,0.21,3,8,1,2,2,8,8
MAO,LAB,0.18,0,0,0,0,0,0,0
LAB,LAB,0.91,1,9,5,4,3,2,7
LAB,LAB,0.44,5,10,5,5,5,7,5
LAB,LAB,8.18,3,10,6,0,0,8,5
MAO,LAB,0.47,2,2,5,1,0,1,10
No Vote,MAO,0.43,9,9,0,0,2,2,9
MAO,NAT,0.05,5,6,0,0,0,0,6
LAB,LAB,0.4,4,7,2,0,0,10,5
NZF,NZF,0.22,3,10,10,0,0,5,10
