lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,dm
0.280151389,0.074372431,0.297489722,0.218190939,2.583423036,2.370633375,1,-1.11E-15,-1.183110424,1
0.112126111,0.047652014,0.190608056,0.111571183,4.796802132,2.621709823,0.277777778,-1.406723695,-1.666267179,1
0.162420833,0.088046319,0.352185278,0.196976022,4.186046512,2.246393729,0.28,-1.46315431,-1.525143291,1
0.106093333,0.077965764,0.311863056,0.163886526,4.195804196,2.681137945,0.225555556,-1.618725758,-1.483785225,1
0.110326667,0.050416111,0.201664444,0.119775423,3.486682809,2.713462683,0.333333333,-1.098612289,-1.298825248,1
0.193981944,0.093373264,0.373493056,0.219605399,3.032855939,2.642911794,0.250555556,-1.542310459,-1.291531454,1
0.235366111,0.082042431,0.328169722,0.206512148,2.92921074,2.311795739,0.333333333,-1.242453325,-1.205748231,1
0.410947778,0.102736944,0.410947778,0.313565995,1.593978304,2.790000305,1,-1.11E-15,-0.800092339,1
0.170300556,0.097744722,0.390978889,0.209947758,3.174603175,2.532962948,0.333333333,-1.098612289,-1.241983408,1
0.166913889,0.071764861,0.287059444,0.176995297,3.949533736,2.527832256,0.275873016,-1.450202621,-1.527310064,1
0.253470278,0.068948958,0.275795833,0.202518753,2.783146502,2.640658264,1,-1.11E-15,-1.19594789,1
0.287138611,0.108889236,0.435556944,0.268045408,2.585278276,2.422464486,1,-1.11E-15,-1.143667368,1
0.12008,0.064628403,0.258513611,0.1422558,4.166666667,2.336300801,0.297222222,-1.309264956,-1.501270907,1
0.392089167,0.105305347,0.421221389,0.313389896,1.840961391,2.301660177,1,-1.11E-15,-0.892212525,1
0.312916944,0.078229236,0.312916944,0.24480616,1.620526671,2.534309214,1,-1.11E-15,-0.635120104,1
0.195148056,0.072283264,0.289133056,0.176018198,3.823685608,2.712933659,0.277777778,-1.406723695,-1.48275593,1
0.069581111,0.05144625,0.205785,0.112046289,3.835908364,2.489758937,0.333333333,-1.098612289,-1.405618574,1
0.095643611,0.056723958,0.226895833,0.123178861,4.371584699,2.556916588,0.277777778,-1.406723695,-1.529517275,1
0.264839167,0.108904653,0.435618611,0.267606494,2.289348172,2.49739684,1,-1.11E-15,-0.948925741,1
0.138029444,0.080432431,0.321729722,0.176248458,3.420427553,2.414714916,0.333333333,-1.098612289,-1.289267735,1
0.173933611,0.061797569,0.247190278,0.154017942,2.892728003,2.628644815,0.333333333,-1.242453325,-1.181169555,1
0.263846667,0.096279167,0.385116667,0.240690124,2.837997635,2.56216562,1,-1.11E-15,-1.223145592,1
0.29325,0.084698611,0.338794444,0.243338221,2.882305845,2.624883339,1,-1.11E-15,-1.296279848,1
0.174806389,0.083148472,0.332593889,0.186070122,4.230317274,2.689461408,0.275873016,-1.487540251,-1.591615586,1
0.285565278,0.089919375,0.3596775,0.24415046,2.619134231,2.43947341,1,-1.11E-15,-1.210742788,1
0.327265556,0.081816389,0.327265556,0.254026669,2.330097087,2.4536235,1,-1.11E-15,-1.163210393,1
0.213376944,0.089773472,0.359093889,0.215421695,2.948402948,2.47674315,0.333333333,-1.242453325,-1.191128158,1
0.128806111,0.052329167,0.209316667,0.127114981,3.711340206,2.753973388,0.333333333,-1.242453325,-1.349829125,1
0.080911944,0.040575,0.1623,0.090044954,5.433962264,2.598805216,0.185498866,-1.811024838,-1.802943263,1
0.3121,0.101342153,0.405368611,0.264189283,2.932790224,2.506009174,1,-1.11E-15,-1.335332659,1
0.162425,0.06524625,0.260985,0.16086502,3.152364273,2.918698833,0.333333333,-1.098612289,-1.220006695,1
0.228534167,0.094646042,0.378584167,0.221025737,3.399433428,2.542902727,0.28,-1.46315431,-1.404972997,1
0.32326,0.081048819,0.324195278,0.253313502,2.866242038,2.398874328,1,-1.11E-15,-1.410136237,1
0.089544167,0.057960347,0.231841389,0.132767613,4.7399605,2.626621287,0.2,-1.609437912,-1.579703533,1
0.228753333,0.099180278,0.396721111,0.23246183,2.869669191,2.929054789,0.297222222,-1.309264956,-1.170862532,1
0.188114444,0.067178056,0.268712222,0.16728696,4.029099049,2.495581597,0.303333333,-1.382828652,-1.54909807,1
0.230670278,0.064063611,0.256254444,0.188577683,3.717088281,2.468927548,0.4,-1.227529411,-1.484485749,1
0.263294444,0.072168403,0.288673611,0.213240158,3.119584055,2.482633813,0.43,-1.230955784,-1.366067192,1
0.223398056,0.078685139,0.314740556,0.201939633,2.993762994,2.330711422,0.333333333,-1.242453325,-1.234137727,1
0.089414722,0.051244861,0.204979444,0.112600752,3.902439024,2.584473171,0.333333333,-1.098612289,-1.373012204,1
0.246270278,0.105517222,0.422068889,0.256915925,3.0163385,2.667201366,0.333333333,-1.242453325,-1.279263574,1
0.180874444,0.077099097,0.308396389,0.191545024,3.388235294,2.589393627,0.333333333,-1.242453325,-1.36984459,1
0.106828611,0.035054375,0.1402175,0.091902926,4.559848005,2.548695115,0.277777778,-1.406723695,-1.564682801,1
0.192147778,0.080480417,0.321921667,0.186842282,3.734439834,2.42389244,0.277777778,-1.406723695,-1.438481042,1
