lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,dm
0.501940556,0.125485139,0.501940556,0.390402634,2.082730691,2.018885845,1,-1.11E-15,-1.008615678,1
0.473702778,0.118425694,0.473702778,0.364088012,1.985659129,2.565661256,1,-1.11E-15,-1.036324771,1
0.250079722,0.083050972,0.332203889,0.215310635,3.311867525,2.717988622,0.4,-1.227529411,-1.395662668,1
0.412272222,0.107057222,0.428228889,0.3213639,2.557726465,2.970550232,1,-1.11E-15,-1.237835693,1
0.412779167,0.103539514,0.414158056,0.320705645,2.388059701,2.765580399,1,-1.11E-15,-1.1161297,1
0.2207825,0.079307778,0.317231111,0.202846901,3.819628647,2.472200993,0.333333333,-1.242453325,-1.50097343,1
0.481503889,0.120375972,0.481503889,0.367693179,2.132069885,2.68334334,1,-1.11E-15,-0.988902164,1
0.2426,0.092678542,0.370714167,0.225774666,3.755868545,2.450255009,0.34,-1.367965652,-1.498128781,1
0.467996667,0.118809375,0.4752375,0.360709905,2.217431475,2.399447812,1,-1.11E-15,-1.065420992,1
0.453035556,0.124676042,0.498704167,0.355023337,2.455661664,2.561303604,1,-1.11E-15,-1.230801675,1
0.414533889,0.103633472,0.414533889,0.318600776,2.321831667,2.691023483,1,-1.11E-15,-1.15255115,1
0.420938611,0.105234653,0.420938611,0.321445555,2.184466019,3.098236587,1,-1.11E-15,-1.135654569,1
0.278813611,0.087063403,0.348253611,0.235262863,2.75334608,2.396164686,1,-1.11E-15,-1.174953912,1
0.383926667,0.101134583,0.404538333,0.303628586,2.561366062,2.505536983,1,-1.11E-15,-1.117543709,1
0.298607778,0.096199514,0.384798056,0.256509413,2.913800081,2.580231369,0.706666667,-0.853127729,-1.283034005,1
0.215340278,0.084857778,0.339431111,0.201307289,3.4416826,2.31897489,0.333333333,-1.098612289,-1.372983951,1
0.393282778,0.098320694,0.393282778,0.301722212,2.273444901,2.829536553,1,-1.11E-15,-1.137235147,1
0.200799167,0.091258542,0.365034167,0.226628524,3.789473684,2.506574528,0.333333333,-1.098612289,-1.464360303,1
0.171063889,0.077088611,0.308354444,0.183846626,3.557312253,2.540789707,0.277222222,-1.428518783,-1.399986216,1
0.206854722,0.076509792,0.306039167,0.188468834,4.494382022,2.821268055,0.274761905,-1.450324482,-1.640073704,1
0.189235556,0.075239583,0.300958333,0.185790481,5.778491172,2.745825378,0.176666667,-1.824018034,-1.833911782,1
0.087162778,0.048917153,0.195668611,0.119501792,4.612427931,2.533196087,0.190555556,-1.707880864,-1.594763239,1
0.444050833,0.111012708,0.444050833,0.343706167,2.884615385,2.703507085,1,-1.11E-15,-1.425014685,1
