lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,dm
0.091751667,0.035131667,0.140526667,0.088439994,7.100591716,6.615656714,0.145997732,-2.002680524,-2.018618116,1
0.090923333,0.031248333,0.124993333,0.082784541,7.2,5.41468834,0.144444444,-2.013246839,-2.028231077,1
0.050011667,0.02700625,0.108025,0.062241722,7.531380753,6.818435154,0.137142857,-2.026399534,-2.047326095,1
0.115181667,0.04352125,0.174085,0.106502202,6.754221388,3.999591412,0.157460317,-1.96399336,-1.995221517,1
0.025365,0.01678625,0.067145,0.037522046,7.826086957,6.823695185,0.137142857,-2.03187674,-2.068382336,1
0.03379,0.02070375,0.082815,0.045326126,7.741935484,5.774922428,0.138265306,-2.028260768,-2.062950744,1
0.041336667,0.020495417,0.081981667,0.048973725,7.692307692,3.521940625,0.136836735,-2.031701651,-2.059758154,1
0.058631667,0.02922625,0.116905,0.072780832,7.37704918,6.378800628,0.137653061,-2.028577297,-2.034683505,1
0.032225,0.016467083,0.065868333,0.039722361,7.792207792,6.398893378,0.137040816,-2.030753805,-2.06619125,1
0.049931667,0.035083333,0.140333333,0.075558369,7.317073171,6.476419042,0.139965986,-2.015049204,-2.031563403,1
0.058558333,0.020881667,0.083526667,0.058978717,7.578947368,6.272602894,0.137755102,-2.029870326,-2.051565159,1
0.050121667,0.02280125,0.091205,0.059479381,7.570977918,6.443266944,0.137857143,-2.019475601,-2.049508566,1
0.040221667,0.016364167,0.065456667,0.039849193,7.792207792,6.014464017,0.137959184,-2.032284485,-2.066526654,1
0.025415,0.019063333,0.076253333,0.043044005,7.77537797,4.452267708,0.137142857,-2.02708897,-2.064656308,1
0.04121,0.024622083,0.098488333,0.056385506,7.602956705,5.824503511,0.137040816,-2.031206011,-2.053520114,1
0.03285,0.012478333,0.049913333,0.033775315,7.851690294,4.337327693,0.13755102,-2.031173353,-2.070147988,1
0.033131667,0.022802083,0.091208333,0.05238642,7.659574468,6.348814775,0.136938776,-2.028449127,-2.056433934,1
0.041726667,0.020760833,0.083043333,0.049919468,7.692307692,5.940413439,0.136836735,-2.031701651,-2.059758154,1
0.033345,0.022609167,0.090436667,0.049901182,7.684098186,6.656351,0.13755102,-2.025098833,-2.058545047,1
0.092376667,0.03564375,0.142575,0.086458988,7.157057654,2.414481769,0.146575964,-2.001808178,-2.024068034,1
0.057516667,0.027002917,0.108011667,0.063146177,7.51565762,4.824100901,0.137959184,-2.028931317,-2.047398693,1
0.065525,0.043506667,0.174026667,0.093739596,7.003891051,6.715640429,0.152789116,-1.960420759,-2.003466482,1
0.033271667,0.016733333,0.066933333,0.043329117,7.766990291,6.46974038,0.137857143,-2.028317019,-2.063933338,1
