Party Name,Local seats,Party votes,Threshold: 0%,Threshold: 1%,Threshold: 2%,Threshold: 3%,Threshold: 4%,Threshold: 5%,
Labour,31,0.410589410589411,49,50,50,50,50,50,
National,31,0.390609390609391,47,48,48,48,48,48,
NZ First,0,0.056943056943057,7,7,7,7,7,7,
Greens,0,0.052947052947053,6,6,6,6,6,6,
Maori Party,4,0.020979020979021,4,4,4,4,4,4,
United Future NZ,1,0.026973026973027,3,3,3,3,3,3,
ACT NZ,1,0.014985014985015,2,2,2,2,2,2,
Jim Anderton's Progressive,1,0.011988011988012,1,1,1,1,1,1,
Destiny New Zealand,0,0.00599400599400599,1,0,0,0,0,0,
Aotearoa Legalise Cannabis,0,0.002997002997003,0,0,0,0,0,0,
Others,0,0.004995004995005,1,0,0,0,0,0,
