Voting Preferences,,,,,
Version,Method,,,,
1000,fpp,,,,
Name,Year,Author,Date Created,Time Created,
Botany byelection,2011,Michael,Thursday, 24 November 2011,3:34:32 p.m.
7,,,,,
Name,,,,,
PIR,,,,,
ALCP,,,,,
JAMP,,,,,
ACT,,,,,
NAT,,,,,
LAB,,,,,
NCP,,,,,
1,,,,,
10,,,,,
Electorate,,,,,
Botany,,,,,
Name,Party,Votes,,,
Hussain,PIR,32,,,
Leo,ALCP,61,,,
Penny,,128,,,
Robin,JAMP,45,,,
Robert,,31,,,
Lyn,ACT,687,,,
Jami-Lee,NAT,8352,,,
Michael,LAB,4380,,,
Paul,NCP,1626,,,
Wayne,,54,,,
10,,,,,
6,,,,,
6,,,,,
7,,,,,
8,,,,,
6,,,,,
7,,,,,
7,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
7,,,,,
8,,,,,
7,,,,,
6,,,,,
6,,,,,
5,,,,,
6,,,,,
7,,,,,
7,,,,,
6,,,,,
6,,,,,
6,,,,,
7,,,,,
6,,,,,
6,,,,,
6,,,,,
7,,,,,
7,,,,,
6,,,,,
6,,,,,
8,,,,,
7,,,,,
8,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
7,,,,,
5,,,,,
6,,,,,
8,,,,,
5,,,,,
7,,,,,
6,,,,,
7,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
7,,,,,
6,,,,,
6,,,,,
6,,,,,
7,,,,,
8,,,,,
6,,,,,
8,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
9,,,,,
8,,,,,
6,,,,,
5,,,,,
7,,,,,
6,,,,,
7,,,,,
8,,,,,
7,,,,,
7,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
8,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
7,,,,,
6,,,,,
1,,,,,
7,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
7,,,,,
6,,,,,
7,,,,,
3,,,,,
6,,,,,
6,,,,,
7,,,,,
6,,,,,
8,,,,,
8,,,,,
7,,,,,
6,,,,,
5,,,,,
6,,,,,
6,,,,,
7,,,,,
6,,,,,
8,,,,,
6,,,,,
7,,,,,
7,,,,,
6,,,,,
7,,,,,
6,,,,,
6,,,,,
6,,,,,
8,,,,,
6,,,,,
8,,,,,
6,,,,,
7,,,,,
6,,,,,
7,,,,,
6,,,,,
7,,,,,
7,,,,,
6,,,,,
6,,,,,
6,,,,,
5,,,,,
6,,,,,
8,,,,,
6,,,,,
6,,,,,
7,,,,,
2,,,,,
6,,,,,
6,,,,,
6,,,,,
7,,,,,
6,,,,,
6,,,,,
7,,,,,
7,,,,,
8,,,,,
7,,,,,
5,,,,,
8,,,,,
6,,,,,
7,,,,,
7,,,,,
6,,,,,
8,,,,,
6,,,,,
8,,,,,
7,,,,,
8,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
6,,,,,
